LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
	10377.14919	1.40052E-5	67956.5699	0.02942	963.6558	1.50815E-13	1.75975E-12
	10362.8833	1.49379E-5	72582.25951	0.03142	964.9824	1.60417E-13	1.82681E-12
	10348.65338	1.58382E-5	77062.30317	0.03336	966.3093	1.69618E-13	1.88587E-12
	10334.46034	1.66465E-5	81106.55075	0.03511	967.6364	1.77786E-13	1.93012E-12
	10320.30512	1.72171E-5	84001.93959	0.03636	968.9636	1.83378E-13	1.94333E-12
	10306.18543	1.84253E-5	90019.86946	0.03897	970.2911	1.95709E-13	2.01712E-12
	10292.10327	2.05864E-5	100715.49806	0.0436	971.6187	2.18066E-13	2.17698E-12
	10278.05637	2.29835E-5	112596.94085	0.04874	972.9466	2.42794E-13	2.33989E-12
	10264.04565	2.54687E-5	124942.2648	0.05409	974.2747	2.68315E-13	2.49546E-12
	10250.07098	2.77951E-5	136540.83958	0.05911	975.603	2.92027E-13	2.63031E-12
	10236.13222	2.97439E-5	146313.13913	0.06334	976.9315	3.11652E-13	2.72604E-12
	10222.23026	3.17135E-5	156213.60914	0.06763	978.2601	3.31387E-13	2.8378E-12
	10208.36185	3.36221E-5	165840.23439	0.07179	979.5891	3.50378E-13	2.96417E-12
	10194.52998	3.52211E-5	173962.60381	0.07531	980.9182	3.66047E-13	3.06649E-12
	10180.73347	3.63197E-5	179631.87908	0.07776	982.2475	3.76444E-13	3.13763E-12
	10166.97218	3.64075E-5	180310.10191	0.07806	983.577	3.76335E-13	3.14495E-12
	10153.24599	3.5645E-5	176772.53617	0.07653	984.9067	3.67459E-13	3.09075E-12
	10139.55475	3.44806E-5	171228.67282	0.07413	986.2366	3.54497E-13	3.0118E-12
	10125.89731	3.29172E-5	163685.58537	0.07086	987.5668	3.37513E-13	2.91114E-12
	10112.27558	3.13747E-5	156225.14968	0.06763	988.8971	3.20831E-13	2.82117E-12
	10098.68842	3.01602E-5	150380.16587	0.0651	990.2276	3.07585E-13	2.7591E-12
	10085.13569	2.85879E-5	142732.17892	0.06179	991.5583	2.90768E-13	2.65892E-12
	10071.61624	2.64953E-5	132461.76596	0.05734	992.8893	2.68762E-13	2.50495E-12
	10058.13097	2.46343E-5	123323.08657	0.05339	994.2205	2.49216E-13	2.35608E-12
	10044.68075	2.31182E-5	115887.83831	0.05017	995.5518	2.33252E-13	2.2296E-12
	10031.26344	2.19694E-5	110276.3526	0.04774	996.8834	2.21069E-13	2.14872E-12
	10017.88092	2.12112E-5	106612.81277	0.04615	998.2151	2.12871E-13	2.11222E-12
	10004.53105	2.01705E-5	101517.44672	0.04395	999.5471	2.01888E-13	2.03921E-12
	9991.21772	1.87665E-5	94576.92732	0.04094	1000.879	1.87335E-13	1.93138E-12
	9977.92882	1.7816E-5	89906.64131	0.03892	1002.212	1.77375E-13	1.86992E-12
	9964.68516	1.73973E-5	87910.16571	0.03806	1003.544	1.72746E-13	1.85199E-12
	9951.4667	1.67773E-5	84889.6057	0.03675	1004.877	1.66148E-13	1.81331E-12
	9938.28326	1.60022E-5	81075.38263	0.0351	1006.21	1.58053E-13	1.76522E-12
	9925.13471	1.52928E-5	77583.64698	0.03359	1007.543	1.50646E-13	1.72487E-12
	9912.01108	1.451E-5	73709.9679	0.03191	1008.877	1.42558E-13	1.66976E-12
	9898.93191	1.38964E-5	70686.00795	0.0306	1010.21	1.36169E-13	1.62835E-12
	9885.87743	1.3377E-5	68134.07594	0.0295	1011.544	1.30734E-13	1.59295E-12
	9872.85734	1.29559E-5	66076.45424	0.0286	1012.878	1.26286E-13	1.56426E-12
	9859.87151	1.28599E-5	65673.18496	0.02843	1014.212	1.2502E-13	1.5753E-12
	9846.91009	1.26465E-5	64668.14762	0.028	1015.547	1.22622E-13	1.56411E-12
	9833.99237	1.23224E-5	63093.91467	0.02731	1016.881	1.19167E-13	1.53485E-12
	9821.09886	1.21943E-5	62519.74217	0.02706	1018.216	1.17619E-13	1.53593E-12
	9808.23912	1.20858E-5	62044.90093	0.02686	1019.551	1.16268E-13	1.53521E-12
	9795.40341	1.21039E-5	62219.34858	0.02693	1020.887	1.16137E-13	1.54556E-12
	9782.61082	1.22191E-5	62893.31849	0.02723	1022.222	1.16936E-13	1.5655E-12
	9769.84206	1.23442E-5	63620.42614	0.02754	1023.558	1.17825E-13	1.57684E-12
	9757.10659	1.26224E-5	65139.13109	0.0282	1024.894	1.20167E-13	1.60605E-12
	9744.40428	1.32053E-5	68235.83628	0.02954	1026.23	1.25388E-13	1.68385E-12
	9731.73499	1.40364E-5	72625.11811	0.03144	1027.566	1.32934E-13	1.79367E-12
	9719.09861	1.44948E-5	75094.11188	0.03251	1028.902	1.36919E-13	1.85071E-12
	9706.48558	1.45738E-5	75601.76845	0.03273	1030.239	1.37308E-13	1.86782E-12
	9693.90525	1.44384E-5	74996.43384	0.03247	1031.576	1.3568E-13	1.86709E-12
	9681.35748	1.40143E-5	72887.92988	0.03155	1032.913	1.31354E-13	1.8348E-12
	9668.84216	1.38498E-5	72125.68708	0.03122	1034.25	1.29477E-13	1.83966E-12
	9656.34982	1.38916E-5	72437.02063	0.03136	1035.588	1.29533E-13	1.86674E-12
	9643.88973	1.36798E-5	71424.85377	0.03092	1036.926	1.27229E-13	1.85707E-12
	9631.46175	1.33112E-5	69589.85225	0.03013	1038.264	1.23481E-13	1.82804E-12
	9619.06576	1.27238E-5	66604.80305	0.02883	1039.602	1.17729E-13	1.77317E-12
	9606.70164	1.1781E-5	61748.57201	0.02673	1040.94	1.08725E-13	1.672E-12
	9594.36005	1.10882E-5	58192.26365	0.02519	1042.279	1.02069E-13	1.59586E-12
	9582.05932	1.09625E-5	57606.43946	0.02494	1043.617	1.00653E-13	1.59493E-12
	9569.78093	1.07903E-5	56774.41038	0.02458	1044.956	9.88184E-14	1.59067E-12
	9557.53397	1.03581E-5	54569.92786	0.02362	1046.295	9.46172E-14	1.54342E-12
	9545.3092	9.76381E-6	51505.08465	0.0223	1047.635	8.89609E-14	1.46918E-12
